reaction_id	namespace	accession
RHEA:22624	EC	4.1.3.39
RHEA:22624	KEGG_REACTION	R00750
RHEA:20956	EC	6.2.1.30
RHEA:20956	KEGG_REACTION	R02539
RHEA:32171	EC	1.14.13.149
RHEA:31843	EC	5.3.3.18
RHEA:31755	EC	3.3.2.12
RHEA:31747	EC	1.2.1.91
RHEA:34799	EC	2.3.1.223
RHEA:34799	KEGG_REACTION	R09839
RHEA:76647	EC	4.2.1.17
RHEA:76647	KEGG_REACTION	R06942
RHEA:34851	EC	1.1.1.35
RHEA:34851	KEGG_REACTION	R06941
RHEA:20357	EC	1.14.12.19
RHEA:20357	KEGG_REACTION	R06782
RHEA:25062	EC	1.3.1.87
RHEA:25062	KEGG_REACTION	R06784
RHEA:24785	EC	1.14.13.127
RHEA:24785	KEGG_REACTION	R06786
RHEA:23840	EC	1.13.11.16
RHEA:23840	KEGG_REACTION	R04376
RHEA:34187	EC	3.7.1.14
RHEA:34187	KEGG_REACTION	R02603
RHEA:10532	KEGG_REACTION	R02722
RHEA:10532	EC	4.2.1.20
RHEA:10676	KEGG_REACTION	R04001
RHEA:10676	EC	4.2.1.33
RHEA:10932	KEGG_REACTION	R01954
RHEA:10932	EC	6.3.4.5
RHEA:11040	KEGG_REACTION	R03457
RHEA:11040	EC	4.2.1.19
RHEA:11372	KEGG_REACTION	R00483
RHEA:11372	EC	6.3.1.1
RHEA:11768	KEGG_REACTION	R01073
RHEA:11768	EC	2.4.2.18
RHEA:11960	KEGG_REACTION	R04475
RHEA:11960	EC	2.6.1.17
RHEA:12228	KEGG_REACTION	R00578
RHEA:12228	EC	6.3.5.4
RHEA:13085	KEGG_REACTION	R04364
RHEA:13085	EC	2.3.1.89
RHEA:13493	KEGG_REACTION	R05069
RHEA:13493	EC	1.1.1.86
RHEA:13561	KEGG_REACTION	R02755
RHEA:13561	EC	1.4.1.16
RHEA:13869	KEGG_REACTION	R01728
RHEA:13869	EC	1.3.1.12
RHEA:13897	KEGG_REACTION	R01715
RHEA:13897	EC	5.4.99.5
RHEA:14109	KEGG_REACTION	R01251
RHEA:14109	EC	1.5.1.2
RHEA:14465	KEGG_REACTION	R03013
RHEA:14465	EC	3.1.3.15
RHEA:14629	KEGG_REACTION	R02649
RHEA:14629	EC	2.7.2.8
RHEA:14877	KEGG_REACTION	R00239
RHEA:14877	EC	2.7.2.11
RHEA:15093	KEGG_REACTION	R00734
RHEA:15093	EC	2.6.1.57
RHEA:15101	KEGG_REACTION	R00451
RHEA:15101	EC	4.1.1.20
RHEA:15349	KEGG_REACTION	R02282
RHEA:15349	EC	2.3.1.35
RHEA:15393	KEGG_REACTION	R02735
RHEA:15393	EC	5.1.1.7
RHEA:15469	KEGG_REACTION	R04640
RHEA:15469	EC	5.3.1.16
RHEA:15941	KEGG_REACTION	R00669
RHEA:15941	EC	3.5.1.16
RHEA:16293	KEGG_REACTION	R03968
RHEA:16293	EC	4.2.1.33
RHEA:17325	KEGG_REACTION	R04365
RHEA:17325	EC	2.3.1.117
RHEA:18049	KEGG_REACTION	R02283
RHEA:18049	EC	2.6.1.11
RHEA:18321	KEGG_REACTION	R01090
RHEA:18321	EC	2.6.1.42
RHEA:18405	KEGG_REACTION	R00396
RHEA:18405	EC	1.4.1.1
RHEA:18473	KEGG_REACTION	R01071
RHEA:18473	EC	2.4.2.17
RHEA:19045	KEGG_REACTION	R07399
RHEA:19045	EC	2.3.3.21
RHEA:19453	KEGG_REACTION	R00258
RHEA:19453	EC	2.6.1.2
RHEA:19513	KEGG_REACTION	R01398
RHEA:19513	EC	2.1.3.3
RHEA:19541	KEGG_REACTION	R03313
RHEA:19541	EC	1.2.1.41
RHEA:20049	KEGG_REACTION	R04037
RHEA:20049	EC	3.5.4.19
RHEA:20405	KEGG_REACTION	R02733
RHEA:20405	EC	3.5.1.47
RHEA:21524	KEGG_REACTION	R01213
RHEA:21524	EC	2.3.3.13
RHEA:21540	KEGG_REACTION	R03509
RHEA:21540	EC	5.3.1.24
RHEA:21588	KEGG_REACTION	R03443
RHEA:21588	EC	1.2.1.38
RHEA:21640	KEGG_REACTION	R01730
RHEA:21640	EC	1.3.1.13
RHEA:21648	KEGG_REACTION	R01373
RHEA:21648	EC	4.2.1.51
RHEA:21732	KEGG_REACTION	R00986
RHEA:21732	EC	4.1.3.27
RHEA:21824	KEGG_REACTION	R00355
RHEA:21824	EC	2.6.1.1
RHEA:22068	KEGG_REACTION	R04439
RHEA:22068	EC	1.1.1.86
RHEA:22332	KEGG_REACTION	R03896
RHEA:22332	EC	4.2.1.35
RHEA:22608	KEGG_REACTION	R02734
RHEA:22608	EC	3.5.1.18
RHEA:22828	KEGG_REACTION	R04035
RHEA:22828	EC	3.6.1.31
RHEA:23476	KEGG_REACTION	R03508
RHEA:23476	EC	4.1.1.48
RHEA:23744	KEGG_REACTION	R03243
RHEA:23744	EC	2.6.1.9
RHEA:23988	KEGG_REACTION	R07613
RHEA:23988	EC	2.6.1.83
RHEA:24020	KEGG_REACTION	R01086
RHEA:24020	EC	4.3.2.1
RHEA:24292	KEGG_REACTION	R00259
RHEA:24292	EC	2.3.1.1
RHEA:24793	KEGG_REACTION	R04558
RHEA:24793	EC	4.3.2.10
RHEA:24801	KEGG_REACTION	R02199
RHEA:24801	EC	2.6.1.42
RHEA:24809	KEGG_REACTION	R04441
RHEA:24809	EC	4.2.1.9
RHEA:24813	KEGG_REACTION	R01214
RHEA:24813	EC	2.6.1.42
RHEA:25152	KEGG_REACTION	R00694
